episode_seed,total_steps,total_pulses,intercepted_count,interception_rate,wasted_dwells,dwell_waste_ratio,retuning_distance,total_reward,tier1_steps,tier2_steps,policy
96,500,500,1,0.2,0,0.0,33.0,-350.99999999999966,500,0,Hybrid-DRQN
97,500,500,2,0.4,0,0.0,33.0,-338.79000000000093,500,0,Hybrid-DRQN
98,500,500,0,0.0,0,0.0,182.0,-372.25999999999715,500,0,Hybrid-DRQN
99,500,500,0,0.0,0,0.0,34.0,-341.6599999999987,500,0,Hybrid-DRQN
100,500,500,0,0.0,0,0.0,34.0,-330.1500000000009,500,0,Hybrid-DRQN
101,500,500,3,0.6,0,0.0,228.0,-348.45,500,0,Hybrid-DRQN
102,500,500,0,0.0,0,0.0,150.0,-362.8699999999985,500,0,Hybrid-DRQN
103,500,500,0,0.0,0,0.0,38.0,-372.8700000000011,500,0,Hybrid-DRQN
104,500,500,0,0.0,0,0.0,58.0,-347.0899999999998,500,0,Hybrid-DRQN
105,500,500,99,19.8,0,0.0,1412.0,-222.07,396,104,Hybrid-DRQN
106,500,500,0,0.0,0,0.0,18.0,-356.3699999999995,500,0,Hybrid-DRQN
107,500,500,0,0.0,0,0.0,34.0,-354.4299999999998,500,0,Hybrid-DRQN
108,500,500,0,0.0,0,0.0,34.0,-324.74000000000075,500,0,Hybrid-DRQN
109,500,500,1,0.2,0,0.0,500.0,-363.01999999999964,500,0,Hybrid-DRQN
110,500,500,0,0.0,0,0.0,34.0,-368.9700000000032,500,0,Hybrid-DRQN
111,500,500,0,0.0,0,0.0,34.0,-353.51000000000187,500,0,Hybrid-DRQN
112,500,500,0,0.0,0,0.0,34.0,-358.17000000000155,500,0,Hybrid-DRQN
113,500,500,0,0.0,0,0.0,34.0,-333.79000000000167,500,0,Hybrid-DRQN
114,500,500,0,0.0,0,0.0,34.0,-329.4700000000007,500,0,Hybrid-DRQN
115,500,500,0,0.0,0,0.0,34.0,-360.2099999999991,500,0,Hybrid-DRQN
116,500,500,2,0.4,0,0.0,34.0,-344.25000000000017,500,0,Hybrid-DRQN
117,500,500,0,0.0,0,0.0,34.0,-337.7900000000017,500,0,Hybrid-DRQN
118,500,500,1,0.2,0,0.0,34.0,-362.96000000000197,500,0,Hybrid-DRQN
119,500,500,1,0.2,0,0.0,34.0,-346.11000000000155,500,0,Hybrid-DRQN
120,500,500,0,0.0,0,0.0,396.0,-351.44999999999885,500,0,Hybrid-DRQN
121,500,500,0,0.0,0,0.0,50.0,-337.4999999999999,500,0,Hybrid-DRQN
122,500,500,68,13.600000000000001,0,0.0,808.0,-270.3000000000005,430,70,Hybrid-DRQN
123,500,500,0,0.0,0,0.0,51.0,-349.0500000000003,500,0,Hybrid-DRQN
124,500,500,0,0.0,0,0.0,33.0,-355.1700000000012,500,0,Hybrid-DRQN
125,500,500,0,0.0,0,0.0,33.0,-355.5300000000007,500,0,Hybrid-DRQN
126,500,500,0,0.0,0,0.0,59.0,-374.35000000000036,500,0,Hybrid-DRQN
127,500,500,0,0.0,0,0.0,33.0,-302.9999999999995,500,0,Hybrid-DRQN
128,500,500,0,0.0,0,0.0,33.0,-360.23999999999995,500,0,Hybrid-DRQN
129,500,500,1,0.2,0,0.0,42.0,-365.40000000000026,500,0,Hybrid-DRQN
130,500,500,0,0.0,0,0.0,49.0,-360.27000000000146,500,0,Hybrid-DRQN
131,500,500,0,0.0,0,0.0,35.0,-343.48999999999876,500,0,Hybrid-DRQN
132,500,500,0,0.0,0,0.0,35.0,-348.63000000000005,500,0,Hybrid-DRQN
133,500,500,0,0.0,0,0.0,35.0,-334.5399999999992,500,0,Hybrid-DRQN
134,500,500,0,0.0,0,0.0,3496.0,-396.58000000000004,500,0,Hybrid-DRQN
135,500,500,0,0.0,0,0.0,30.0,-361.1199999999991,500,0,Hybrid-DRQN
136,500,500,0,0.0,0,0.0,30.0,-348.8700000000016,500,0,Hybrid-DRQN
137,500,500,0,0.0,0,0.0,30.0,-376.01999999999924,500,0,Hybrid-DRQN
138,500,500,0,0.0,0,0.0,30.0,-339.35999999999996,500,0,Hybrid-DRQN
139,500,500,42,8.4,0,0.0,278.0,-291.4000000000004,457,43,Hybrid-DRQN
140,500,500,0,0.0,0,0.0,46.0,-360.9900000000016,500,0,Hybrid-DRQN
141,500,500,0,0.0,0,0.0,30.0,-362.02000000000004,500,0,Hybrid-DRQN
